"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","Umag","alphat","epsilon","k","nut","p","p_rgh","rho"
349.99,-173.33,20,300,9.4424,0.17571,-0.0021908,9.444,0.34177,0.00016127,0.023054,0.23715,1.0132e+05,-2.8284,1.225
374.99,-173.33,20,300,9.3926,0.19236,-0.0096645,9.3946,0.34606,0.00016762,0.023653,0.24012,1.0132e+05,-2.2245,1.225
400,-173.33,20,300,9.346,0.20019,-0.015016,9.3482,0.35008,0.00017393,0.024237,0.24291,1.0132e+05,-1.6597,1.225
425,-173.33,20,300,9.3038,0.20183,-0.018841,9.3061,0.35389,0.00018028,0.024813,0.24556,1.0132e+05,-1.1524,1.225
450,-173.33,20,300,9.2678,0.2004,-0.022038,9.27,0.35752,0.00018665,0.02538,0.24807,1.0132e+05,-0.71486,1.225
475,-173.33,20,300,9.2318,0.19798,-0.025357,9.234,0.36123,0.00019341,0.025975,0.25065,1.0132e+05,-0.36006,1.225
500,-173.33,20,300,9.7208,0.20754,-0.027574,9.7231,0.39656,0.00019699,0.026288,0.27517,1.0132e+05,-0.010721,1.225
-300,-151.66,20,300,9.5,0,0,9.5,0.0019043,0.12361,0.015027,0.0013214,1.0133e+05,3.5348,1.225
-275.1,-151.71,20,300,8.9977,-0.0079888,0.0068815,8.9977,0.19475,0.0013968,0.0089893,0.13514,1.0133e+05,3.5366,1.225
-250.19,-151.76,20,300,8.9946,-0.016173,0.0085563,8.9947,0.19875,4.6189e-05,0.0090981,0.13791,1.0133e+05,3.5534,1.225
-225,-151.66,20,300,8.9898,-0.026366,0.01075,8.9899,0.20281,4.5378e-05,0.0094748,0.14073,1.0133e+05,3.5971,1.225
-199.99,-151.66,20,300,8.9834,-0.0394,0.01363,8.9835,0.20702,4.8084e-05,0.0098667,0.14365,1.0133e+05,3.665,1.225
-174.99,-151.66,20,300,8.9756,-0.056603,0.017222,8.9758,0.21141,5.0972e-05,0.010275,0.14669,1.0133e+05,3.7519,1.225
-149.99,-151.66,20,300,8.9671,-0.079659,0.021566,8.9675,0.216,5.4024e-05,0.010699,0.14988,1.0133e+05,3.8513,1.225
-124.99,-151.65,20,300,8.9589,-0.11081,0.02698,8.9597,0.22085,5.7262e-05,0.011142,0.15324,1.0133e+05,3.9508,1.225
-99.984,-151.65,20,300,8.9531,-0.15272,0.033802,8.9545,0.22598,6.0702e-05,0.011605,0.1568,1.0133e+05,4.0251,1.225
-74.983,-151.64,20,300,8.9535,-0.20834,0.042386,8.9562,0.23147,6.4368e-05,0.012094,0.16061,1.0133e+05,4.0293,1.225
-49.984,-151.64,20,300,8.968,-0.28034,0.052676,8.9727,0.23747,6.8264e-05,0.012611,0.16477,1.0133e+05,3.8797,1.225
-24.986,-151.64,20,300,9.9981,-0.40336,0.063268,10.007,0.30118,8.3411e-05,0.014132,0.20898,1.0133e+05,3.4417,1.225
0.012668,-151.64,20,300,10.071,-0.49177,0.071437,10.084,0.29466,9.2082e-05,0.014534,0.20446,1.0133e+05,2.5618,1.225
